State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
South Carolina,1245292,,,,2018,8,2017,6,
Montana,239674,81185,81185,0,2018,8,2017,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Florida,4071124,,,,2018,8,2017,4,
West Virginia,554537,176032,176032,0,2018,8,2017,5,
Maine,259420,,,,2018,8,2017,6,
Virgin Islands,23491,4051,,4051,2018,8,2017,4,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
New Hampshire,193158,56352,56259,93,2018,8,2017,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Guam,36048,3669,,3669,2018,8,2017,4,
Indiana,1331060,443581,316878,126703,2018,8,2017,6,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Nevada,607542,210960,210960,0,2018,8,2017,6,
Colorado,1362458,447032,444641,2391,2018,8,2017,4,
New York,6118975,3506677,520391,2986286,2018,8,2017,6,
District of Columbia,256190,108353,67808,40545,2018,8,2017,4,
Rhode Island,307483,69927,69927,0,2018,8,2017,4,
North Dakota *,92538,20546,19501,1045,2018,8,2017,5,Awaiting state reporting/enrollment reasonableness review in progress
Puerto Rico,1262413,374096,,374096,2018,8,2017,5,
District of Columbia,258414,108589,67745,40844,2018,8,2017,6,
Nevada,606670,210861,210861,0,2018,8,2017,4,
Oregon,1017114,486357,403232,83125,2018,8,2017,4,
Missouri,984536,,,,2018,8,2017,5,
New Hampshire,192088,55801,55703,98,2018,8,2017,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kansas,375492,,,,2018,8,2017,4,
West Virginia,552510,174834,174834,0,2018,8,2017,6,
Utah,302218,,,,2018,8,2017,6,
Virgin Islands,23728,4085,,4085,2018,8,2017,6,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Tennessee,1633794,,,,2018,8,2017,4,
South Dakota,106977,,,,2018,8,2017,4,
Massachusetts,1822777,387944,0,387944,2018,8,2017,5,
Delaware,207128,61169,10648,50521,2018,8,2017,5,
Idaho,320039,,,,2018,8,2017,5,
North Carolina,2089888,,,,2018,8,2017,4,
Florida,4014312,,,,2018,8,2017,6,
New Jersey,1710228,576871,576871,0,2018,8,2017,5,
Utah,303864,,,,2018,8,2017,5,
Vermont,184109,60585,0,60585,2018,8,2017,6,
Hawaii,331063,117659,21964,95695,2018,8,2017,5,
Illinois,2868638,682355,641469,40886,2018,8,2017,6,
Louisiana,1625305,429511,429511,0,2018,8,2017,4,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Arkansas,941843,316682,309174,7508,2018,8,2017,5,
Alabama,1017416,,,,2018,8,2017,6,
Texas,4316536,,,,2018,8,2017,5,
Delaware,206792,60730,10537,50193,2018,8,2017,6,
Michigan,2104606,678977,626329,52648,2018,8,2017,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Missouri,975247,,,,2018,8,2017,6,
South Carolina,1247825,,,,2018,8,2017,5,
Connecticut,895348,228302,203302,25000,2018,8,2017,4,
