State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Amer. Samoa,28183,,,,2020,2,2018,12,,
Guam,36437,4151,,4151,2020,2,2018,11,"Guam
(13.3532, 144.653198)",
Michigan,2420714,687460,633017,54443,2020,2,2018,12,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
South Carolina,1264623,,,,2020,2,2018,11,"South Carolina
(33.878572, -80.864614)",
Alabama,1030845,,,,2020,2,2018,10,"Alabama
(32.756889, -86.844516)",
Nevada,594711,212434,212434,0,2020,2,2018,11,"Nevada
(39.283294, -114.916992)",
Totals,74770615,15151153,11945738,3205415,2020,2,2018,12,,
Alaska,206870,50050,50046,4,2020,2,2018,12,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,12875160,3790254,3790254,0,2020,2,2018,10,"California
(37.211164, -119.662127)",
Colorado,1267068,398485,391400,7085,2020,2,2018,12,"Colorado
(38.998552, -105.547832)",
Florida,3878529,,,,2020,2,2018,10,"Florida
(28.260731, -82.420978)",
Totals,75799027,15335170,12058478,3275692,2020,2,2018,10,,
Montana,254940,97832,97832,0,2020,2,2018,12,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,640095,,,,2020,2,2018,12,"Oklahoma
(35.583449, -97.508297)",
Puerto Rico,1217207,402604,,402604,2020,2,2018,10,"Puerto Rico
(18.215692, -66.414655)",
Michigan,2428592,684432,626588,57844,2020,2,2018,10,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
North Dakota,92554,20430,19429,1001,2020,2,2018,10,"North Dakota
(47.446305, -100.46931)",
Minnesota,1097796,202437,201489,948,2020,2,2018,10,"Minnesota
(46.349153, -94.198308)",
Washington,1757941,560323,546598,13725,2020,2,2018,10,"Washington
(47.411715, -120.592492)",
Idaho,303522,,,,2020,2,2018,10,"Idaho
(44.389073, -114.659366)",
West Virginia,528207,161508,161508,0,2020,2,2018,11,"West Virginia
(38.642579, -80.613729)",
Georgia,1945609,,,,2020,2,2018,12,"Georgia
(32.638481, -83.426574)",
Rhode Island,308695,69511,69511,0,2020,2,2018,12,"Rhode Island
(41.572574, -71.534637)",
Louisiana,1654528,494332,494332,0,2020,2,2018,10,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1512716,,,,2020,2,2018,10,"Tennessee
(35.842998, -86.343226)",
North Carolina,2181656,,,,2020,2,2018,11,"North Carolina
(35.52603, -79.130883)",
Ohio,2858429,569651,569360,291,2020,2,2018,12,"Ohio
(40.415534, -82.70936)",
Alabama,1029480,,,,2020,2,2018,11,"Alabama
(32.756889, -86.844516)",
Maine,250778,0,0,0,2020,2,2018,11,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
N. Mariana Islands,16334,,,,2020,2,2018,10,,
Virgin Islands,27284,12497,,12497,2020,2,2018,12,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Vermont,172504,56993,0,56993,2020,2,2018,11,"Vermont
(44.075252, -72.662695)",
Connecticut,951730,264330,240657,23673,2020,2,2018,12,"Connecticut
(41.575155, -72.738288)",
Missouri,903552,,,,2020,2,2018,11,"Missouri
(38.3675, -92.477244)",
New Jersey,1656601,552053,552053,0,2020,2,2018,12,"New Jersey
(40.110253, -74.655514)",
Arkansas,862562,264626,263881,745,2020,2,2018,11,"Arkansas
(34.899825, -92.439162)",
Kansas,372118,,,,2020,2,2018,12,"Kansas
(38.484729, -98.38018)",
New Hampshire,185826,54920,54637,283,2020,2,2018,11,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kentucky,1292585,449995,449995,0,2020,2,2018,12,"Kentucky
(37.526683, -85.290484)",
Alaska,206088,48735,48732,3,2020,2,2018,10,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,602886,168966,154137,14829,2020,2,2018,11,"Iowa
(42.074659, -93.500061)",
Colorado,1288644,409565,402363,7202,2020,2,2018,10,"Colorado
(38.998552, -105.547832)",
Arizona,1875585,417955,106001,311954,2020,2,2018,11,"Arizona
(34.293239, -111.664616)",
Arizona,1875915,420159,106170,313989,2020,2,2018,12,"Arizona
(34.293239, -111.664616)",
Montana,257807,98633,98633,0,2020,2,2018,11,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
South Dakota,104100,,,,2020,2,2018,11,"South Dakota
(44.43614, -100.230491)",
Montana,259669,99148,99148,0,2020,2,2018,10,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2900621,586054,585763,291,2020,2,2018,10,"Ohio
(40.415534, -82.70936)",
Tennessee,1509553,,,,2020,2,2018,12,"Tennessee
(35.842998, -86.343226)",
Hawaii,315744,113064,21058,92006,2020,2,2018,11,"Hawaii
(21.361013, -157.854309)",
Maine,251140,0,0,0,2020,2,2018,10,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1701088,334737,0,334737,2020,2,2018,12,"Massachusetts
(42.151077, -71.481104)",
Virginia,1082925,0,0,0,2020,2,2018,12,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Jersey,1667572,552008,552008,0,2020,2,2018,10,"New Jersey
(40.110253, -74.655514)",
New York,6149602,1911261,300546,1610715,2020,2,2018,11,"New York
(42.921241, -75.59655)",
Delaware,218580,62573,9702,52871,2020,2,2018,11,"Delaware
(38.994926, -75.452394)",
Oregon,956800,458684,380477,78207,2020,2,2018,11,"Oregon
(43.940449, -120.605279)",
Puerto Rico,1223270,400209,,400209,2020,2,2018,12,"Puerto Rico
(18.215692, -66.414655)",
Dist. Of Col.,260411,108584,67018,41566,2020,2,2018,10,,
West Virginia,531916,162893,162893,0,2020,2,2018,10,"West Virginia
(38.642579, -80.613729)",
Wyoming,56278,,,,2020,2,2018,12,"Wyoming
(42.999627, -107.55145)",
Missouri,897164,,,,2020,2,2018,12,"Missouri
(38.3675, -92.477244)",
Washington,1759134,564404,550659,13745,2020,2,2018,11,"Washington
(47.411715, -120.592492)",
Florida,3717196,,,,2020,2,2018,12,"Florida
(28.260731, -82.420978)",
Louisiana,1649027,493404,493404,0,2020,2,2018,11,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,649827,,,,2020,2,2018,11,"Oklahoma
(35.583449, -97.508297)",
Hawaii,317217,113491,20999,92492,2020,2,2018,10,"Hawaii
(21.361013, -157.854309)",
Illinois,2681580,688386,581454,106932,2020,2,2018,12,"Illinois
(40.124144, -89.148632)",
