State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MS,Mississippi,09/01/2019,N,U,Y,18920,,N/A,,18920,,12010,,637,,12647,,419892,,620324,,38.4623,-92.302,"(38.4623, -92.302)",543220,,77104,
ND,North Dakota,09/01/2019,Y,U,Y,2101,,N/A,,2101,,2322,,78,,2400,,42183,,89537,,46.9048,-110.3261,"(46.9048, -110.3261)",87404,,2133,
NC,North Carolina,09/01/2019,N,U,Y,21395,,N/A,,21395,,36405,,4074,,40479,,1199274,,1783490,,32.7673,-89.6812,"(32.7673, -89.6812)",1505280,,278210,
IL,Illinois,09/01/2019,Y,U,Y,64450,,N/A,,64450,,27634,,9347,,36981,,1351037,,2842807,,44.2394,-114.5103,"(44.2394, -114.5103)",2570932,,271875,
AK,Alaska,09/01/2019,Y,U,Y,2955,Includes Renewals and/or Redeterminations,N/A,,2955,Includes Renewals and/or Redeterminations,2197,Includes Renewals and/or Redeterminations; Includes CHIP,131,,2328,Includes Renewals and/or Redeterminations,97402,,221587,,61.385,-152.2683,"(61.385, -152.2683)",205472,,16115,
MO,Missouri,09/01/2019,N,U,Y,21447,Includes  Renewals and/or Redeterminations,N/A,,21447,Includes  Renewals and/or Redeterminations,10274,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",417,Includes Renewals and/or Redeterminations,10691,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",537809,,857228,,45.7326,-93.9196,"(45.7326, -93.9196)",821824,,35404,
SD,South Dakota,09/01/2019,N,U,Y,2675,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2675,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1570,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1570,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78066,,109764,,18.2766,-66.335,"(18.2766, -66.335)",94162,,15602,
WA,Washington,09/01/2019,Y,U,Y,68421,,68787,,137208,,98060,,1832,,99892,,821215,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1708007,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1638959,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),69048,
LA,Louisiana,09/01/2019,Y,U,Y,29566,,N/A,,29566,,22321,,1924,,24245,,729082,,1531896,,37.669,-84.6514,"(37.669, -84.6514)",1413952,,117944,
GA,Georgia,09/01/2019,N,U,Y,42424,,N/A,,42424,,24959,,749,,25708,,1274437,,1851830,,27.8333,-81.717,"(27.8333, -81.717)",1640471,,211359,
AL,Alabama,09/01/2019,N,U,Y,13058,,N/A,,13058,,13775,,1861,,15636,,662860,,926273,,32.799,-86.8073,"(32.799, -86.8073)",753526,,172747,
