State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Location,Notes
Amer. Samoa,"28,183",,,,2020,2,2019,2,,
N. Mariana Islands,"16,109",,,,2020,2,2019,3,,
Utah,"287,277",,,,2020,2,2019,3,"Utah
(39.323779, -111.678222)",
Maine,"257,551","8,562","8,562",0,2020,2,2019,2,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Colorado,"1,255,515","389,270","382,110","7,160",2020,2,2019,2,"Colorado
(38.998552, -105.547832)",
Tennessee,"1,540,713",,,,2020,2,2019,1,"Tennessee
(35.842998, -86.343226)",
Utah,"288,842",,,,2020,2,2019,2,"Utah
(39.323779, -111.678222)",
Massachusetts,"1,488,230","336,784",0,"336,784",2020,2,2019,3,"Massachusetts
(42.151077, -71.481104)",
Kentucky,"1,290,860","450,566","450,566",0,2020,2,2019,2,"Kentucky
(37.526683, -85.290484)",
Pennsylvania,"2,859,499","770,742","731,892","38,850",2020,2,2019,2,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,"589,856","211,069","211,069",0,2020,2,2019,1,"Nevada
(39.283294, -114.916992)",
Wyoming,"54,597",,,,2020,2,2019,3,"Wyoming
(42.999627, -107.55145)",
Arizona,"1,874,674","421,967","106,458","315,509",2020,2,2019,1,"Arizona
(34.293239, -111.664616)",
Idaho,"293,665",,,,2020,2,2019,1,"Idaho
(44.389073, -114.659366)",
Arizona,"1,876,939","426,199","107,490","318,709",2020,2,2019,3,"Arizona
(34.293239, -111.664616)",
Indiana,"1,310,771","310,202","310,202",0,2020,2,2019,3,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
New York,"6,130,507","1,900,628","301,942","1,598,686",2020,2,2019,3,"New York
(42.921241, -75.59655)",
N. Mariana Islands,"15,963",,,,2020,2,2019,2,,
Hawaii,"313,334","112,080","20,671","91,409",2020,2,2019,1,"Hawaii
(21.361013, -157.854309)",
Minnesota,"1,084,410","197,789","197,019",770,2020,2,2019,1,"Minnesota
(46.349153, -94.198308)",
Kansas,"369,499",,,,2020,2,2019,1,"Kansas
(38.484729, -98.38018)",
Totals,"75,153,292","15,448,306","12,201,118","3,247,188",2020,2,2019,2,,
Oregon,"958,743","461,893","381,390","80,503",2020,2,2019,3,"Oregon
(43.940449, -120.605279)",
Alabama,"1,033,902",,,,2020,2,2019,2,"Alabama
(32.756889, -86.844516)",
Arkansas,"825,029","247,947","246,996",951,2020,2,2019,3,"Arkansas
(34.899825, -92.439162)",
Nevada,"587,603","209,747","209,747",0,2020,2,2019,3,"Nevada
(39.283294, -114.916992)",
New Jersey,"1,639,444","545,379","545,379",0,2020,2,2019,2,"New Jersey
(40.110253, -74.655514)",
South Dakota,"104,369",,,,2020,2,2019,1,"South Dakota
(44.43614, -100.230491)",
Delaware,"219,338","62,893","9,842","53,051",2020,2,2019,1,"Delaware
(38.994926, -75.452394)",
North Carolina,"2,162,490",,,,2020,2,2019,3,"North Carolina
(35.52603, -79.130883)",
Oregon,"967,100","466,729","386,673","80,056",2020,2,2019,1,"Oregon
(43.940449, -120.605279)",
Minnesota,"1,067,388","193,550","192,684",866,2020,2,2019,2,"Minnesota
(46.349153, -94.198308)",
Florida,"3,790,751",,,,2020,2,2019,2,"Florida
(28.260731, -82.420978)",
Washington,"1,743,962","559,930","545,495","14,435",2020,2,2019,2,"Washington
(47.411715, -120.592492)",
Virgin Islands,"27,617","12,713","12,678","12,713",2020,2,2019,1,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,"218,971","62,762","9,817","52,945",2020,2,2019,3,"Delaware
(38.994926, -75.452394)",
Illinois,"2,638,758","672,921","565,283","107,638",2020,2,2019,2,"Illinois
(40.124144, -89.148632)",
North Dakota,"89,555","19,561","18,641",920,2020,2,2019,2,"North Dakota
(47.446305, -100.46931)",
Missouri,"881,755",,,,2020,2,2019,3,"Missouri
(38.3675, -92.477244)",
New York,"6,153,908","1,911,722","302,526","1,609,196",2020,2,2019,1,"New York
(42.921241, -75.59655)",
Maryland,"1,222,071","310,968","310,968",0,2020,2,2019,3,"Maryland
(38.946466, -76.687282)",
Connecticut,"954,542","267,800","243,656","24,144",2020,2,2019,3,"Connecticut
(41.575155, -72.738288)",
California,"12,724,664","3,768,331","3,767,510",821,2020,2,2019,2,"California
(37.211164, -119.662127)",
Louisiana,"1,675,222","507,789","507,789",0,2020,2,2019,2,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Puerto Rico,"1,212,621","403,672",,"403,672",2020,2,2019,2,"Puerto Rico
(18.215692, -66.414655)",
Nebraska,"244,419",,,,2020,2,2019,1,"Nebraska
(41.527099, -99.810595)",
Vermont,"171,269","56,793",0,"56,793",2020,2,2019,1,"Vermont
(44.075252, -72.662695)",
Vermont,"169,458","55,799",0,"55,799",2020,2,2019,3,"Vermont
(44.075252, -72.662695)",
Iowa,"603,260","171,270","156,133","15,137",2020,2,2019,3,"Iowa
(42.074659, -93.500061)",
New Hampshire,"185,135","54,590","54,307",283,2020,2,2019,2,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Guam,"35,908","4,208",,"4,208",2020,2,2019,3,"Guam
(13.3532, 144.653198)",
Maine,"250,952","2,922","2,922",0,2020,2,2019,1,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Texas,"4,204,185",,,,2020,2,2019,2,"Texas
(31.447238, -99.317341)",
Alaska,"207,050","50,745","50,742",3,2020,2,2019,2,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Michigan,"2,443,016","697,752","645,158","52,594",2020,2,2019,2,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Mississippi,"675,003",,,,2020,2,2019,1,"Mississippi
(32.713378, -89.65344)",
South Carolina,"1,269,811",,,,2020,2,2019,3,"South Carolina
(33.878572, -80.864614)",
Oklahoma,"637,768",,,,2020,2,2019,3,"Oklahoma
(35.583449, -97.508297)",
Alabama,"1,033,512",,,,2020,2,2019,3,"Alabama
(32.756889, -86.844516)",
West Virginia,"524,071","161,070","161,070",0,2020,2,2019,1,"West Virginia
(38.642579, -80.613729)",
New Hampshire,"184,346","54,127","53,842",285,2020,2,2019,3,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Iowa,"601,388","169,454","153,747","15,707",2020,2,2019,1,"Iowa
(42.074659, -93.500061)",
Rhode Island,"303,148","66,446","66,446",0,2020,2,2019,3,"Rhode Island
(41.572574, -71.534637)",
Montana,"258,991","99,706","99,706",0,2020,2,2019,2,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Wisconsin,"1,176,174",,,,2020,2,2019,1,"Wisconsin
(44.639954, -89.732969)",
Wisconsin,"1,178,290",,,,2020,2,2019,3,"Wisconsin
(44.639954, -89.732969)",
Maryland,"1,211,974","309,643","309,643",0,2020,2,2019,1,"Maryland
(38.946466, -76.687282)",
Pennsylvania,"2,866,740","774,134","735,455","38,679",2020,2,2019,1,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Amer. Samoa,"28,183",,,,2020,2,2019,1,,
Dist. Of Col.,"260,789","108,049","66,542","41,507",2020,2,2019,2,,
Indiana,"1,320,319","309,792","309,792",0,2020,2,2019,2,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,"2,845,367","562,111","561,835",276,2020,2,2019,2,"Ohio
(40.415534, -82.70936)",
