State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
TX,Texas,07/01/2020,N,P,Y,98980,,N/A,,98980,,51045,,8067,,59112,,3538337,,4518167,,33.8191,-80.9066,"(33.8191, -80.9066)",3931150,,587017,
IA,Iowa,07/01/2020,Y,P,Y,10563,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,10563,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,9970,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,1896,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,11866,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,348207,,708907,,21.1098,-157.5311,"(21.1098, -157.5311)",628203,,80704,
WI,Wisconsin,07/01/2020,N,P,Y,19398,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,19398,Does Not Include All Applications for Limited-Benefit Programs,17070,"Count is of Households, Not Individuals",1147,,18217,,533301,,1131380,,37.768,-78.2057,"(37.768, -78.2057)",1062528,,68852,
DE,Delaware,07/01/2020,Y,P,Y,3294,,N/A,,3294,,2602,,149,,2751,,109011,,241814,,38.8964,-77.0262,"(38.8964, -77.0262)",230659,,11155,
NH,New Hampshire,07/01/2020,Y,P,Y,3598,,N/A,,3598,,2839,,224,,3063,,93828,,196204,,47.5362,-99.793,"(47.5362, -99.793)",181735,,14469,
NC,North Carolina,07/01/2020,N,P,Y,26948,,N/A,,26948,,31761,,2897,,34658,,1226026,,1874977,,32.7673,-89.6812,"(32.7673, -89.6812)",1586625,,288352,
AL,Alabama,07/01/2020,N,P,Y,8349,,N/A,,8349,,9250,,1210,,10460,,678307,,965307,,32.799,-86.8073,"(32.799, -86.8073)",791377,,173930,
MA,Massachusetts,07/01/2020,Y,P,Y,8386,,3443,,11829,,9284,,721,,10005,,683811,,1629141,,31.1801,-91.8749,"(31.1801, -91.8749)",1440140,,189001,
DC,District of Columbia,07/01/2020,Y,P,Y,2418,Includes SBM data,1864,,4282,Includes Renewals and/or Redeterminations,2640,Includes Renewals and/or Redeterminations; Includes CHIP,,,2640,,,,250086,,41.5834,-72.7622,"(41.5834, -72.7622)",232860,,17226,
AK,Alaska,07/01/2020,Y,P,Y,2402,Includes Renewals and/or Redeterminations,N/A,,2402,Includes Renewals and/or Redeterminations,2081,Includes Renewals and/or Redeterminations; Includes CHIP,127,,2208,Includes Renewals and/or Redeterminations,98287,,232578,,61.385,-152.2683,"(61.385, -152.2683)",218487,,14091,
MO,Missouri,07/01/2020,N,P,Y,15284,Includes Renewals and/or Redeterminations,N/A,,15284,Includes Renewals and/or Redeterminations,8261,Includes Renewals and/or Redeterminations,583,Includes Renewals and/or Redeterminations,8844,Includes Renewals and/or Redeterminations,587455,,941651,,45.7326,-93.9196,"(45.7326, -93.9196)",900442,,41209,
CA,California,07/01/2020,Y,P,Y,157938,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,157938,,172266,Does Not Include All Medicaid Determinations Made At Application,12417,Does Not Include All CHIP Determinations Made At Application,184683,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4851611,,11899370,,33.7712,-111.3877,"(33.7712, -111.3877)",10615782,,1283588,
MI,Michigan,07/01/2020,Y,P,Y,33718,,N/A,,33718,,26661,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,809,,27470,,975260,Does Not Include All Full-Benefit Child Medicaid enrollees,2469188,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2410519,Does Not Include All Full-Benefit Medicaid enrollees,58669,
TN,Tennessee,07/01/2020,N,P,Y,25644,,N/A,,25644,,11336,,1537,,12873,,852345,,1506801,,41.6772,-71.5101,"(41.6772, -71.5101)",1380743,,126058,
ND,North Dakota,07/01/2020,Y,P,Y,2144,,N/A,,2144,,1927,,60,,1987,,46568,,98657,,46.9048,-110.3261,"(46.9048, -110.3261)",96231,,2426,
MS,Mississippi,07/01/2020,N,P,Y,16949,,N/A,,16949,,8756,,384,,9140,,433732,,639560,,38.4623,-92.302,"(38.4623, -92.302)",559079,,80481,
SD,South Dakota,07/01/2020,N,P,Y,2166,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2166,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1077,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1077,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",81956,,115715,,18.2766,-66.335,"(18.2766, -66.335)",99912,,15803,
KY,Kentucky,07/01/2020,Y,P,Y,43019,,,,43019,,11865,,934,,12799,,581529,,1460399,,38.5111,-96.8005,"(38.5111, -96.8005)",1371401,,88998,
ME,Maine,07/01/2020,Y,P,Y,5951,,N/A,,5951,,7202,,404,,7606,,108744,,235022,,39.0724,-76.7902,"(39.0724, -76.7902)",222547,,12475,
NM,New Mexico,07/01/2020,Y,P,Y,12220,,N/A,,12220,,12230,,1260,,13490,,339287,Includes Limited-Benefit Enrollees,780781,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",742165,Includes Limited-Benefit Enrollees,38616,
ID,Idaho,07/01/2020,Y,P,Y,9288,,,,9288,,8990,,359,,9349,,182886,,345793,,42.0046,-93.214,"(42.0046, -93.214)",319045,,26748,
VA,Virginia,07/01/2020,Y,P,Y,20754,Includes Renewals and/or Redeterminations,N/A,,20754,Includes Renewals and/or Redeterminations,20631,Includes Renewals and/or Redeterminations,883,Includes Renewals and/or Redeterminations,21514,Includes Renewals and/or Redeterminations,786913,,1519888,,35.7449,-86.7489,"(35.7449, -86.7489)",1361639,,158249,
WA,Washington,07/01/2020,Y,P,Y,72503,,55595,,128098,,74434,,844,,75278,,836452,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1803168,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1733877,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),69291,
CO,Colorado,07/01/2020,Y,P,Y,19753,,111,,19864,,15723,,178,,15901,,587467,,1361828,,36.17,-119.7462,"(36.17, -119.7462)",1284231,,77597,
OH,Ohio,07/01/2020,Y,P,Y,59710,Includes Renewals and/or Redeterminations,N/A,,59710,Includes Renewals and/or Redeterminations,38837,Includes CHIP; Includes Renewals and/or Redeterminations,1944,,40781,Includes Renewals and/or Redeterminations,1218896,,2819633,,38.4199,-117.1219,"(38.4199, -117.1219)",2626131,,193502,
NE,Nebraska,07/01/2020,N,P,Y,5836,,N/A,,5836,,3797,,674,,4471,,170225,,258315,,35.6411,-79.8431,"(35.6411, -79.8431)",224242,,34073,
OR,Oregon,07/01/2020,Y,P,Y,11726,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11726,Does Not Include All Non-MAGI Applications,50534,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",4009,,54543,Does Not Include All Non-MAGI Determinations Made At Application,431034,,1066371,,40.3736,-82.7755,"(40.3736, -82.7755)",935537,,130834,
NV,Nevada,07/01/2020,Y,P,Y,16038,Includes Renewals and/or Redeterminations,N/A,,16038,Includes Renewals and/or Redeterminations,8413,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",33,,8446,,337164,,695931,,40.314,-74.5089,"(40.314, -74.5089)",657500,,38431,
MT,Montana,07/01/2020,Y,P,Y,3214,,N/A,,3214,,2877,,239,,3116,,113051,,250388,,14.8058,145.5505,"(14.8058, 145.5505)",225055,,25333,
WV,West Virginia,07/01/2020,Y,P,Y,13537,,N/A,,13537,,7314,,283,,7597,,217602,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),528335,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",494356,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33979,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
VT,Vermont,07/01/2020,Y,P,Y,1463,,1109,,2572,Includes Renewals and/or Redeterminations,1818,Includes Renewals and/or Redeterminations,34,,1852,,62375,,162600,,31.106,-97.6475,"(31.106, -97.6475)",158338,,4262,
OK,Oklahoma,07/01/2020,N,P,Y,30992,Includes Renewals and/or Redeterminations,N/A,,30992,Includes Renewals and/or Redeterminations,35885,Includes Renewals and/or Redeterminations,5490,,41375,Includes Renewals and/or Redeterminations,555903,,809286,,42.1497,-74.9384,"(42.1497, -74.9384)",680401,,128885,
SC,South Carolina,07/01/2020,N,P,Y,18987,,N/A,,18987,,5953,Does Not Include All Medicaid Determinations Made At Application,259,Does Not Include All CHIP Determinations Made At Application,6212,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,659001,,1061957,,40.5773,-77.264,"(40.5773, -77.264)",965018,,96939,
NY,New York,07/01/2020,Y,P,Y,,,687200,Includes Renewals and/or Redeterminations,687200,Includes Renewals and/or Redeterminations,101591,Includes Renewals and/or Redeterminations,7141,Includes Renewals and/or Redeterminations,108732,Includes Renewals and/or Redeterminations,2462711,Includes Retroactive Enrollments,6367146,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5750812,Includes Retroactive Enrollments,616334,
IN,Indiana,07/01/2020,Y,P,Y,49834,,N/A,,49834,,27956,,1783,,29739,,842418,,1627602,,40.3363,-89.0022,"(40.3363, -89.0022)",1516170,,111432,
RI,Rhode Island,07/01/2020,Y,P,Y,1303,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1303,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2049,,134,,2183,,118597,,308847,,44.5672,-122.1269,"(44.5672, -122.1269)",279162,,29685,
AZ,Arizona,07/01/2020,Y,P,Y,82612,,N/A,,82612,,,,,,,,,,1862408,,14.2417,-170.7197,"(14.2417, -170.7197)",1754618,,107790,
CT,Connecticut,07/01/2020,Y,P,Y,3770,,9376,,13146,,12057,,263,,12320,,341030,,885365,,39.0646,-105.3272,"(39.0646, -105.3272)",865495,,19870,
AR,Arkansas,07/01/2020,Y,P,Y,16309,,N/A,,16309,,10072,,678,,10750,,380815,,839653,,34.9513,-92.3809,"(34.9513, -92.3809)",803192,,36461,
IL,Illinois,07/01/2020,Y,P,Y,66981,,N/A,,66981,,,,,,,,1388866,,3018195,,44.2394,-114.5103,"(44.2394, -114.5103)",2725185,,293010,
GA,Georgia,07/01/2020,N,P,Y,39227,,N/A,,39227,,16817,,2086,,18903,,1360468,,1951725,,27.8333,-81.717,"(27.8333, -81.717)",1729931,,221794,
KS,Kansas,07/01/2020,N,P,Y,,,N/A,,,,,,,,,,283083,,406698,,39.8647,-86.2604,"(39.8647, -86.2604)",342993,,63705,
MD,Maryland,07/01/2020,Y,P,Y,4083,,71753,Includes Renewals and/or Redeterminations,75836,Includes Renewals and/or Redeterminations,33135,Includes Renewals and/or Redeterminations,1788,Includes Renewals and/or Redeterminations,34923,Includes Renewals and/or Redeterminations,639656,,1387773,,42.2373,-71.5314,"(42.2373, -71.5314)",1245001,,142772,
LA,Louisiana,07/01/2020,Y,P,Y,22908,,N/A,,22908,,24673,,1409,,26082,,730730,,1607959,,37.669,-84.6514,"(37.669, -84.6514)",1474310,,133649,
WY,Wyoming,07/01/2020,N,P,Y,1514,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1514,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,693,,22,,715,,40268,,60716,,44.0407,-72.7093,"(44.0407, -72.7093)",56270,,4446,
FL,Florida,07/01/2020,N,P,Y,264846,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,264846,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,125187,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,9595,,134782,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2577304,,3930734,,39.3498,-75.5148,"(39.3498, -75.5148)",3716747,,213987,
